Timestamp,What grade are you in?,How many times do you order from the cafeteria per week?,If you answered the question above  what's your favorite daily special?,What Pre-AP/AP courses do you take?,How long do you think you study every night?,How hard do you think schools is right now?,How long does it take for you to commute to school?,When do you arrive at school?,How do you get to school?,Are you a night owl or an early bird?,
3/3/2022 13:10:40,Grade 11,5,Baked pasta,Biology,<2 hours,4,<10 minutes,7:55:00 AM,I drive myself,Night owl,
3/3/2022 13:11:33,Grade 11,1,Baked Pasta,Chemistry  Biology  Math,<3 hours,3,<10 minutes,7:45:00 AM,Someone else drives me,Night owl,
3/3/2022 13:20:23,Grade 11,1,Baked Pasta,Art/Drama,<3 hours,5,<15 minutes,7:40:00 AM,Someone else drives me,Night owl,
3/3/2022 13:21:34,Grade 11,0,Baked Pasta,Chemistry  GH  English,<3 hours,5,<10 minutes,8:13:00 AM,I drive myself,Night owl,
3/3/2022 13:33:50,Grade 12,1,Baked pasta,Chemistry  Biology  Math  Spanish,<2 hours,4,<30 minutes,8:00:00 AM,Someone else drives me,Night owl,
3/3/2022 13:40:01,Grade 11,5,Baked pasta,Chemistry  Physics  Math  English,<4 hours,4,<15 minutes,7:40:00 AM,Someone else drives me,Early bird,
3/3/2022 13:49:46,Grade 12,1,baked pasta,Chemistry  Biology  Physics  Math  GH  English  Programming,<1 hour,4,<10 minutes,8:05:00 AM,Walk or Bike,Night owl,
3/3/2022 16:32:36,Grade 10,5,Baked Pasta,English,<2 hours,2,<10 minutes,8:10:00 AM,Walk or Bike,Night owl,
3/3/2022 17:37:43,Grade 10,5,Baked Pasta,Math,<1 hour,4,<10 minutes,8:00:00 AM,Someone else drives me,Night owl,
3/4/2022 11:32:39,Grade 10,5,Baked Pasta,Math  GH  English,<4 hours,4,<15 minutes,8:10:00 AM,Someone else drives me,Night owl,
3/3/2022 14:01:27,Grade 12,5,barbeque chicken ,GH  English,<4 hours,4,<15 minutes,8:00:00 AM,Someone else drives me,Night owl,
3/3/2022 13:18:46,Grade 10,5,BBQ Chicken,Math  GH  English  French,<3 hours,3,>60 minutes,7:55:00 AM,School Bus/Public Transit,Early bird,
3/3/2022 15:19:08,Grade 10,1,burger,Chemistry  Biology  Math  English  Spanish  French,<2 hours,1,<10 minutes,7:50:00 AM,Someone else drives me,Night owl,
