Timestamp,What grade are you in?,How many times do you order from the cafeteria per week?,If you answered the question above  what's your favorite daily special?,What Pre-AP/AP courses do you take?,How long do you think you study every night?,How hard do you think schools is right now?,How long does it take for you to commute to school?,When do you arrive at school?,How do you get to school?,Are you a night owl or an early bird?,,AP Chemistry,AP English,AP Biology,AP Physics,AP Math,AP GH,AP Art/Drama,AP Spanish,AP French,AP Mandarin,AP Programming,no AP
3/3/2022 16:32:36,Grade 10,5,baked pasta,English,<2 hours,2,<10 minutes,8:10:00 AM,Walk or Bike,Night owl,,0,1,0,0,0,0,0,0,0,0,0,0
3/3/2022 17:37:43,Grade 10,5,baked pasta,Math,<1 hour,4,<10 minutes,8:00:00 AM,Someone else drives me,Night owl,,0,0,0,0,1,0,0,0,0,0,0,0
3/4/2022 11:32:39,Grade 10,5,baked pasta,Math  GH  English,<4 hours,4,<15 minutes,8:10:00 AM,Someone else drives me,Night owl,,0,1,0,0,1,1,0,0,0,0,0,0
3/3/2022 13:20:30,Grade 10,4,baked pasta,Math  GH  English,<3 hours,3,<10 minutes,8:00:00 AM,Walk or Bike,Night owl,,0,1,0,0,1,1,0,0,0,0,0,0
3/3/2022 13:18:46,Grade 10,5,bbq chicken,Math  GH  English  French,<3 hours,3,>60 minutes,7:55:00 AM,School Bus/Public Transit,Early bird,,0,1,0,0,1,1,0,0,1,0,0,0
3/3/2022 15:19:08,Grade 10,1,burger,Chemistry  Biology  Math  English  Spanish  French,<2 hours,1,<10 minutes,7:50:00 AM,Someone else drives me,Night owl,,1,1,1,0,1,0,0,1,1,0,0,0
3/3/2022 13:13:14,Grade 10,5,butter chicken,Math  GH  Mandarin,<3 hours,3,<15 minutes,8:00:00 AM,Walk or Bike,Night owl,,0,0,0,0,1,1,0,0,0,1,0,0
3/3/2022 13:39:56,Grade 10,4,butter chicken,Math  GH  English  French,<3 hours,3,<10 minutes,7:30:00 AM,Someone else drives me,Early bird,,0,1,0,0,1,1,0,0,1,0,0,0
3/3/2022 17:34:44,Grade 10,1,butter chicken,Math  English,<2 hours,3,<30 minutes,8:00:00 AM,Someone else drives me,Early bird,,0,1,0,0,1,0,0,0,0,0,0,0
3/5/2022 16:38:46,Grade 10,1,butter chicken,Chemistry  Biology  Physics  Math  GH  English  Spanish,<4 hours,4,<30 minutes,7:40:00 AM,School Bus/Public Transit,Early bird,,1,1,1,1,1,1,0,1,0,0,0,0
3/3/2022 13:14:15,Grade 10,3,butter chicken,Math  English,<1 hour,3,<10 minutes,8:10:00 AM,Someone else drives me,Night owl,,0,1,0,0,1,0,0,0,0,0,0,0
3/7/2022 14:06:19,Grade 10,5,butter chicken,Chemistry  Biology  Physics  Math  GH  English  French,<1 hour,2,<30 minutes,7:50:00 AM,Someone else drives me,Night owl,,1,1,1,1,1,1,0,0,1,0,0,0
3/3/2022 14:03:20,Grade 10,4,chicken teriyaki,Math  English,<4 hours,2,<15 minutes,7:00:00 AM,Someone else drives me,Night owl,,0,1,0,0,1,0,0,0,0,0,0,0
3/4/2022 10:06:15,Grade 10,4,chicken teriyaki,Math  French,<4 hours,3,<30 minutes,8:00:00 AM,School Bus/Public Transit,Night owl,,0,0,0,0,1,0,0,0,1,0,0,0
3/3/2022 14:00:41,Grade 10,1,chicken teriyaki,Math  English,<1 hour,4,<45 minutes,8:00:00 AM,Someone else drives me,Night owl,,0,1,0,0,1,0,0,0,0,0,0,0
3/4/2022 8:28:15,Grade 10,5,dumpling,Math  English,<3 hours,3,<30 minutes,6:50:00 AM,Someone else drives me,Night owl,,0,1,0,0,1,0,0,0,0,0,0,0
3/4/2022 10:21:12,Grade 10,1,dumpling,English,<4 hours,3,<10 minutes,8:45:00 AM,Someone else drives me,Night owl,,0,1,0,0,0,0,0,0,0,0,0,0
3/4/2022 8:48:33,Grade 10,5,dumpling,GH,<2 hours,4,<15 minutes,8:00:00 AM,Someone else drives me,Night owl,,0,0,0,0,0,1,0,0,0,0,0,0
3/3/2022 15:26:17,Grade 10,2,dumpling,No AP,<3 hours,4,<30 minutes,8:00:00 AM,Someone else drives me,Night owl,,0,0,0,0,0,0,0,0,0,0,0,1
3/3/2022 13:15:09,Grade 10,5,dumpling,Math  GH  English,<4 hours,3,<15 minutes,7:00:00 AM,Someone else drives me,Night owl,,0,1,0,0,1,1,0,0,0,0,0,0
3/3/2022 13:16:49,Grade 10,2,dumpling,GH  English  French,<3 hours,3,<10 minutes,7:50:00 AM,Someone else drives me,Night owl,,0,1,0,0,0,1,0,0,1,0,0,0
3/3/2022 18:36:47,Grade 10,5,dumpling,Math  GH  English  Spanish,<3 hours,3,<30 minutes,8:00:00 AM,Someone else drives me,Night owl,,0,1,0,0,1,1,0,1,0,0,0,0
